Guatemala,GTM,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,234564,238968,244506,,253289,255733,,,266492,,,261774,283406,273073,,,,,,,,,,,,,,279310,,194429,167206,175653,142285,,98731,83829,69791,57743,56642,17472,16658,38395,72099,101212,127722,138887,
Guam,GUM,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,10379,10136,,6795,,6022,1991,,4379,,,8521,,,,,,,,,,,,,3550,3934,,,,,,,6944,,,,,6531,10630,9754,9207,9098,,,,
High income,HIC,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,3563821,3568595,3420879,3533320,3365995,3077082,3008384,2897665,2857116,2134418,2147445,1965858,2166493,2298446,2274395,2050252,1812501,1696000,1641712,1593038,1662319,1877650,1997934,2002684,1847153,1785777,1882199,1217603,1115399,1091599,1054883,1206225,1266983,1380472,1263916,1070587,955148,871940,939374,1031495,1092270,1090246,1154722,1110125,,
"Hong Kong SAR, China",HKG,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,70352,69874,,38584,31797,28074,,26665,,,,,47550,,44832,,,,,,,55703,,,31942,20888,42452,15701,39136,15958,13648,16229,10431,11111,24762,25029,28456,
Heavily indebted poor countries (HIPC),HPC,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,13192153,13332703,13525996,13417406,13305903,13220270,13242677,13290744,13149295,13150628,13674951,13864682,14308232,14739629,15065276,15794736,16235425,17036988,17838688,17834988,18577686,19173028,19390436,19346824,19925648,19471004,19876148,20214608,19995636,19369948,18355650,17543776,16765111,16032079,15234759,14710203,13463049,13659335,13955730,13491663,12991835,12623940,12418911,,
Croatia,HRV,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17911,8103,6448,4154,1948,620,,73,156,107,1407,7660,3748,1664,360,270,270,277,
Haiti,HTI,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,270910,255628,239484,261049,248446,242770,289237,,,,,,,,,,280430,,,,,,,,,,,,,,,,,,,
Hungary,HUN,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55009,33516,9417,9317,7903,6725,6378,9186,9736,8200,6465,6617,3932,2160,2322,3832,5781,7386,7737,8005,
IBRD only,IBD,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,47694376,49557780,49212472,44427628,43279148,41297212,41482156,44783036,51282060,52372092,51143164,48981528,47851472,46493340,44514296,40144388,35210176,32929416,30585012,28474688,28531044,28342892,28833972,28308696,28054056,29563214,29454470,,28468580,25158548,22757220,20933180,17876162,12591440,11222451,11868924,10932539,8638297,7242249,7296291,6689338,6559766,6561072,6845717,7131228,,
IDA & IBRD total,IBT,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,74455624,77296880,76424712,71164656,70256128,67786672,67752552,70827168,77538040,78259144,76412456,74282952,73516400,72744152,71456200,68300824,64720556,63546748,61324632,60339944,61388328,61149176,62057208,61852752,61893124,63798204,65078296,,63631640,60331648,56773408,54198796,49966120,43066800,40086904,39446240,37495080,33907676,32433896,31934170,31512640,30799980,30420808,30725082,30976412,,
