neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Hortaleza,Valdefuentes,40.4897049994812,-3.66732508459914,Private room,26,2,0,0.0,1,177
Salamanca,Castellana,40.4355763902841,-3.6802425011735997,Entire home/apt,85,3,0,0.0,2,32
Centro,Embajadores,40.4095459292212,-3.70717649623105,Private room,20,2,4,0.25,1,0
Centro,Palacio,40.4087767379806,-3.710726262212,Entire home/apt,90,2,0,0.0,67,95
Centro,Sol,40.416833176563394,-3.70711590899129,Entire home/apt,175,2,4,0.38,21,215
Chamberí,Almagro,40.4357403585541,-3.6958940683200896,Entire home/apt,71,7,0,0.0,1,43
Centro,Universidad,40.4247847701572,-3.70260797215614,Entire home/apt,80,2,137,2.89,9,33
Centro,Embajadores,40.4093075770463,-3.70240572497016,Shared room,17,1,21,5.04,4,80
Puente de Vallecas,Entrevías,40.3815093302002,-3.66776908381889,Entire home/apt,32,20,4,0.3,1,40
Ciudad Lineal,Ventas,40.428808251927705,-3.6467166911405497,Private room,30,1,0,0.0,1,364
Centro,Justicia,40.422472643118205,-3.69530833693108,Entire home/apt,70,5,11,0.37,12,307
Centro,Sol,40.4164810130375,-3.7079149936429,Entire home/apt,99,2,35,4.04,7,295
Centro,Sol,40.4169149386141,-3.70323430540264,Entire home/apt,109,2,2,0.54,67,81
Retiro,Ibiza,40.4179761552367,-3.6760433812414903,Entire home/apt,90,2,6,0.14,10,298
Centro,Palacio,40.4083825826594,-3.7137906522349398,Entire home/apt,50,3,42,4.16,1,194
Centro,Embajadores,40.4092594680981,-3.7050492278983502,Private room,20,6,3,0.05,1,311
Centro,Embajadores,40.409681476131794,-3.69949032022269,Entire home/apt,60,2,17,1.35,1,40
Centro,Universidad,40.424542609837395,-3.7091551191037295,Entire home/apt,92,2,30,1.57,3,272
Centro,Justicia,40.42201361218321,-3.69707064557091,Entire home/apt,70,2,48,2.58,1,335
Centro,Palacio,40.4185319818095,-3.7092721921908702,Entire home/apt,59,3,95,2.2,2,348
