Source,Target,Weight
353786894,1635567745,1
394892872,277021437,1
213969309,1114036494,1
353786894,264348057,1
507672047,23746926,1
262230432,49608424,1
353786894,491547918,1
537951506,19267015,1
394892872,68503377,1
537951506,199761419,1
537951506,214413743,1
507672047,426488154,1
353786894,297474911,1
537951506,407952890,1
537951506,104105131,1
213969309,263619434,1
516464106,736007630,1
213969309,19397785,1
213969309,114308407,1
214413743,393672457,1
516464106,2445382492,1
353786894,122104594,1
213969309,346751152,1
353786894,339818054,1
394892872,336761705,1
353786894,71370894,1
516464106,146556805,1
537951506,29191062,1
516464106,394892872,1
213969309,414248813,1
213969309,768141216,1
213969309,101166629,1
394892872,104094630,1
213969309,248900032,1
214413743,249186003,1
213969309,19530101,1
394892872,166905249,1
507672047,125832497,1
507672047,3143321146,1
394892872,596318234,1
537951506,28297965,1
537951506,302736020,1
353786894,261267194,1
213969309,1033230666,1
213969309,430069366,1
214413743,22060294,1
353786894,219422455,1
213969309,230240220,1
394892872,177147074,1
353786894,31401945,1
353786894,194945814,1
213969309,711063261,1
213969309,46809666,1
516464106,2967005386,1
516464106,575352314,1
213969309,1247966591205195784,1
213969309,117778179,1
213969309,4201552600,1
214413743,281635993,1
394892872,594802359,1
214413743,35117415,1
213969309,1013146850,1
214413743,35944242,1
353786894,140409019,1
507672047,82724710,1
516464106,211743260,1
516464106,2941938052,1
537951506,970154557,1
902951244549038081,329686741,1
537951506,976035398089695232,1
537951506,122877975,1
213969309,413256716,1
537951506,118921833,1
394892872,2863610128,1
262230432,2827589488,1
262230432,2982669863,1
902951244549038081,156635674,1
262230432,3391713417,1
537951506,1114036494,1
353786894,56672870,1
537951506,519109662,1
507672047,53053378,1
537951506,343627165,1
262230432,556861671,1
214413743,99630137,1
213969309,134720607,1
507672047,1337785291,1
537951506,87157795,1
213969309,158157390,1
516464106,296700244,1
353786894,26235265,1
537951506,38164846,1
394892872,817693716,1
516464106,632774461,1
214413743,1261774309,1
262230432,1133081905509933057,1
